Medicine_ID,Medicine_Name,Strength,Use_Case,Alternative,Stock,Dosage_Instruction
33,Insulin,500mg,Heart Disease,Amlodipine,No,1 tablet daily
34,Metoprolol,10mg,Heart Disease,Dolo,No,1 tablet daily for 3 days
35,Omeprazole,200mg,"Pain, Inflammation",Loratadine,No,1 capsule every 8 hrs
36,Ibuprofen,400mg,Heart Disease,Propranolol,No,1 tablet daily for 3 days
37,Ciprofloxacin,10mg,Cholesterol Control,Human Mixtard,Yes,1 tablet daily
38,Ibuprofen,600mg,Asthma,Dolo,No,1 tablet daily for 3 days
39,Clopidogrel,150mg,Stomach Ulcer,Zincovit,Yes,1 tablet at night
40,Levothyroxine,150mg,Thyroid Disorder,Dolo,No,1 tablet after meals
41,Clopidogrel,600mg,"Fever, Headache",Erythromycin,No,As prescribed by doctor
42,Insulin,500mg,Acidity,Famotidine,No,1 capsule every 8 hrs
43,Salbutamol,250mg,Immunity Boost,Crocin,No,1 tablet after meals
44,Losartan,600mg,Thyroid Disorder,Diclofenac,No,1 tablet every 6 hrs
45,Ibuprofen,500mg,Acidity,Levocetirizine,No,"As directed, sip slowly"
46,Ibuprofen,500mg,"Allergy, Cold",Erythromycin,No,1 tablet daily
47,Aspirin,400mg,Cholesterol Control,Diclofenac,No,1 capsule every 8 hrs
48,Ranitidine,20ml,Bacterial Infection,Electral Powder,Yes,"As directed, sip slowly"
49,Ibuprofen,50mg,"Fever, Headache",Levocetirizine,No,1 tablet every 6 hrs
50,Paracetamol,200ml,Heart Disease,Loratadine,No,1 tablet daily
51,Losartan,400mg,"Pain, Inflammation",Clarithromycin,Yes,1 tablet before meals
52,Insulin,200mg,Hypertension,Propranolol,No,1 tablet at night
53,Paracetamol,150mg,Hypertension,Loratadine,No,1 tablet every 6 hrs
54,Paracetamol,50mg,Heart Disease,Loratadine,Yes,1 tablet at night
55,Clopidogrel,100mg,Bacterial Infection,Erythromycin,No,1 tablet at night
56,Vitamin C,200mg,"Pain, Inflammation",Dolo,Yes,1 tablet at night
57,Ranitidine,10ml,Stomach Ulcer,Crocin,No,As prescribed by doctor
58,Insulin,400mg,"Pain, Inflammation",Famotidine,Yes,"As directed, sip slowly"
59,Metformin,20ml,Diabetes,Propranolol,Yes,1 capsule every 8 hrs
60,Azithromycin,20ml,Bacterial Infection,Human Mixtard,No,As prescribed by doctor
61,Paracetamol,200mg,Thyroid Disorder,Dolo,Yes,As prescribed by doctor
62,Insulin,400mg,"Fever, Headache",Clarithromycin,Yes,1 tablet before meals
63,Aspirin,10mg,Diabetes,Augmentin,No,1 tablet daily
64,Amoxicillin,10mg,Diabetes,Clarithromycin,Yes,1 tablet every 6 hrs
65,Vitamin C,50mg,"Allergy, Cold",Crocin,Yes,1 tablet before meals
66,Metformin,600mg,"Pain, Inflammation",Augmentin,No,As prescribed by doctor
67,Salbutamol,200mg,Throat Infection,Zincovit,Yes,1 tablet before meals
68,Metoprolol,10mg,"Fever, Headache",Diclofenac,Yes,1 capsule every 8 hrs
69,Salbutamol,20ml,Stomach Ulcer,Amlodipine,Yes,1 tablet daily
70,Omeprazole,10mg,Bacterial Infection,Crocin,No,"As directed, sip slowly"
71,Levothyroxine,200mg,Stomach Ulcer,Zincovit,No,As prescribed by doctor
72,Pantoprazole,600mg,"Allergy, Cold",Zincovit,No,"As directed, sip slowly"
73,Levothyroxine,200ml,"Pain, Inflammation",Electral Powder,Yes,1 tablet daily
74,Pantoprazole,200mg,Acidity,Crocin,No,"As directed, sip slowly"
75,Ciprofloxacin,250mg,Heart Disease,Crocin,No,1 tablet daily
76,Metformin,600mg,Bacterial Infection,Propranolol,No,1 tablet before meals
77,Losartan,10ml,Throat Infection,Levocetirizine,Yes,1 capsule every 8 hrs
78,Losartan,20ml,"Allergy, Cold",Loratadine,Yes,1 tablet daily
79,Atorvastatin,20ml,Asthma,Crocin,No,1 tablet daily for 3 days
80,Pantoprazole,100mg,Thyroid Disorder,Amlodipine,No,1 tablet at night
81,Vitamin C,100mg,Stomach Ulcer,Crocin,No,As prescribed by doctor
82,Amoxicillin,10mg,Diabetes,Diclofenac,Yes,1 tablet at night
83,Vitamin C,10ml,Cholesterol Control,Augmentin,No,1 tablet daily
84,Paracetamol,600mg,Thyroid Disorder,Human Mixtard,Yes,1 tablet before meals
85,Ibuprofen,10ml,Cholesterol Control,Famotidine,No,1 tablet daily
86,Insulin,10mg,Hypertension,Diclofenac,Yes,1 tablet daily for 3 days
87,Pantoprazole,50mg,Diabetes,Glimepiride,Yes,"As directed, sip slowly"
88,Aspirin,250mg,Asthma,Clarithromycin,Yes,1 tablet at night
89,Pantoprazole,10ml,Immunity Boost,Loratadine,No,1 tablet daily
90,Salbutamol,150mg,Stomach Ulcer,Propranolol,Yes,1 tablet before meals
91,Metformin,400mg,Throat Infection,Propranolol,Yes,As prescribed by doctor
92,Ciprofloxacin,200mg,Acidity,Clarithromycin,No,1 tablet every 6 hrs
93,Vitamin C,250mg,Immunity Boost,Augmentin,No,As prescribed by doctor
94,Salbutamol,50mg,Bacterial Infection,Famotidine,No,1 tablet at night
95,Metformin,500mg,Immunity Boost,Levocetirizine,No,1 tablet after meals
96,Cetirizine,20ml,Stomach Ulcer,Famotidine,No,1 tablet after meals
97,Metoprolol,200mg,Hypertension,Amlodipine,Yes,1 tablet daily for 3 days
98,Salbutamol,500mg,Asthma,Dolo,Yes,1 tablet daily for 3 days
99,Losartan,200mg,"Pain, Inflammation",Clarithromycin,Yes,1 tablet daily
100,Salbutamol,50mg,Asthma,Propranolol,No,1 capsule every 8 hrs
101,Metoprolol,10ml,"Pain, Inflammation",Loratadine,No,1 capsule every 8 hrs
102,Metformin,200ml,Stomach Ulcer,Zincovit,Yes,1 capsule every 8 hrs
103,Metformin,10ml,Diabetes,Propranolol,Yes,1 capsule every 8 hrs
104,Cetirizine,20ml,Immunity Boost,Loratadine,Yes,1 tablet every 6 hrs
105,Amoxicillin,250mg,Dehydration,Human Mixtard,No,1 tablet daily
106,Paracetamol,200mg,Stomach Ulcer,Clarithromycin,No,1 tablet after meals
107,Insulin,10mg,Thyroid Disorder,Propranolol,Yes,As prescribed by doctor
108,Vitamin C,400mg,Throat Infection,Loratadine,No,1 tablet at night
109,Omeprazole,250mg,Asthma,Augmentin,No,1 tablet before meals
110,Metformin,400mg,"Allergy, Cold",Famotidine,Yes,1 tablet before meals
111,Vitamin C,50mg,Asthma,Diclofenac,No,1 tablet at night
112,Omeprazole,200ml,Asthma,Glimepiride,Yes,1 tablet at night
113,Atorvastatin,500mg,Throat Infection,Electral Powder,Yes,1 tablet daily
114,Ranitidine,20ml,Throat Infection,Electral Powder,No,1 capsule every 8 hrs
115,Metoprolol,20ml,Immunity Boost,Crocin,No,1 tablet daily
116,Aspirin,250mg,"Fever, Headache",Propranolol,No,1 tablet daily
117,Ciprofloxacin,600mg,Thyroid Disorder,Levocetirizine,No,As prescribed by doctor
118,Metformin,10ml,"Allergy, Cold",Clarithromycin,Yes,1 tablet daily
119,Metoprolol,10mg,Stomach Ulcer,Human Mixtard,Yes,1 tablet every 6 hrs
120,Ciprofloxacin,100mg,"Allergy, Cold",Loratadine,Yes,1 tablet after meals
121,Cetirizine,100mg,Cholesterol Control,Propranolol,No,1 tablet at night
122,Insulin,10mg,Cholesterol Control,Levocetirizine,No,1 tablet daily for 3 days
123,Omeprazole,200mg,Heart Disease,Dolo,No,As prescribed by doctor
124,Metoprolol,500mg,Stomach Ulcer,Augmentin,No,1 tablet daily
125,Vitamin C,200mg,"Allergy, Cold",Levocetirizine,No,"As directed, sip slowly"
126,Pantoprazole,150mg,Asthma,Glimepiride,Yes,1 tablet at night
127,Clopidogrel,10mg,Heart Disease,Clarithromycin,No,1 tablet after meals
128,Paracetamol,200mg,Asthma,Crocin,Yes,As prescribed by doctor
129,Pantoprazole,20ml,Asthma,Amlodipine,No,"As directed, sip slowly"
130,Omeprazole,10mg,Acidity,Clarithromycin,No,1 capsule every 8 hrs
131,Levothyroxine,400mg,Cholesterol Control,Amlodipine,Yes,1 tablet daily for 3 days
132,Pantoprazole,600mg,Acidity,Diclofenac,No,1 tablet before meals
133,Ciprofloxacin,200mg,Hypertension,Amlodipine,Yes,"As directed, sip slowly"
134,Pantoprazole,100mg,Thyroid Disorder,Erythromycin,Yes,"As directed, sip slowly"
135,Losartan,200ml,Stomach Ulcer,Clarithromycin,Yes,As prescribed by doctor
136,Aspirin,500mg,Stomach Ulcer,Crocin,No,"As directed, sip slowly"
137,Losartan,100mg,Cholesterol Control,Human Mixtard,Yes,1 tablet every 6 hrs
138,Aspirin,100mg,Stomach Ulcer,Diclofenac,Yes,1 capsule every 8 hrs
139,Insulin,150mg,Immunity Boost,Amlodipine,Yes,1 tablet daily
140,Ranitidine,500mg,Acidity,Amlodipine,Yes,As prescribed by doctor
141,Paracetamol,150mg,Stomach Ulcer,Loratadine,Yes,1 tablet before meals
142,Atorvastatin,10ml,Acidity,Zincovit,No,As prescribed by doctor
143,Paracetamol,200mg,"Fever, Headache",Augmentin,No,1 tablet daily for 3 days
144,Paracetamol,150mg,Hypertension,Erythromycin,Yes,As prescribed by doctor
145,Omeprazole,150mg,Diabetes,Amlodipine,Yes,1 tablet at night
146,Ciprofloxacin,400mg,"Allergy, Cold",Loratadine,No,1 tablet at night
147,Ibuprofen,100mg,Immunity Boost,Glimepiride,No,1 tablet after meals
148,Atorvastatin,10ml,"Allergy, Cold",Famotidine,Yes,1 tablet daily for 3 days
149,Insulin,100mg,Asthma,Crocin,Yes,1 tablet before meals
150,Pantoprazole,200mg,"Fever, Headache",Levocetirizine,Yes,1 tablet every 6 hrs
151,Atorvastatin,150mg,Stomach Ulcer,Propranolol,Yes,1 tablet before meals
152,Atorvastatin,250mg,Thyroid Disorder,Propranolol,No,1 tablet daily
153,Ranitidine,600mg,"Pain, Inflammation",Famotidine,No,1 tablet before meals
154,Aspirin,200mg,Hypertension,Diclofenac,No,1 tablet after meals
155,Ciprofloxacin,250mg,Diabetes,Dolo,Yes,1 tablet every 6 hrs
156,Clopidogrel,200mg,Dehydration,Glimepiride,No,1 tablet before meals
157,Levothyroxine,600mg,Bacterial Infection,Diclofenac,Yes,1 tablet after meals
158,ORS Solution,200ml,Bacterial Infection,Levocetirizine,No,1 tablet at night
159,Metformin,100mg,Throat Infection,Human Mixtard,Yes,1 tablet daily
160,Insulin,150mg,Dehydration,Clarithromycin,Yes,1 tablet after meals
161,ORS Solution,600mg,Hypertension,Human Mixtard,Yes,1 tablet after meals
162,Aspirin,150mg,Thyroid Disorder,Erythromycin,No,1 tablet after meals
163,Ranitidine,400mg,Hypertension,Dolo,Yes,As prescribed by doctor
164,Insulin,250mg,"Allergy, Cold",Electral Powder,No,1 tablet at night
165,ORS Solution,50mg,Stomach Ulcer,Propranolol,No,1 tablet after meals
166,Insulin,200mg,Immunity Boost,Erythromycin,Yes,1 capsule every 8 hrs
167,Clopidogrel,20ml,"Pain, Inflammation",Augmentin,No,1 tablet every 6 hrs
168,Azithromycin,100mg,Diabetes,Glimepiride,No,1 tablet every 6 hrs
169,Metoprolol,10ml,Throat Infection,Erythromycin,Yes,1 tablet every 6 hrs
170,Cetirizine,250mg,Cholesterol Control,Zincovit,No,1 tablet every 6 hrs
171,Insulin,10mg,"Pain, Inflammation",Erythromycin,Yes,As prescribed by doctor
172,Losartan,200mg,Acidity,Diclofenac,No,1 tablet after meals
173,Omeprazole,150mg,"Fever, Headache",Diclofenac,No,1 tablet after meals
174,Levothyroxine,150mg,Bacterial Infection,Loratadine,No,As prescribed by doctor
175,Clopidogrel,10ml,Bacterial Infection,Diclofenac,No,1 tablet daily
176,Vitamin C,150mg,Immunity Boost,Clarithromycin,No,1 tablet at night
177,Levothyroxine,50mg,Cholesterol Control,Zincovit,Yes,1 tablet before meals
178,Metoprolol,500mg,Acidity,Famotidine,No,1 tablet daily for 3 days
179,Metoprolol,100mg,Hypertension,Loratadine,Yes,1 tablet every 6 hrs
180,Clopidogrel,50mg,Cholesterol Control,Erythromycin,Yes,1 capsule every 8 hrs
181,Metformin,250mg,Thyroid Disorder,Loratadine,Yes,1 tablet before meals
182,Ciprofloxacin,100mg,Immunity Boost,Crocin,Yes,1 tablet after meals
183,Levothyroxine,500mg,Diabetes,Electral Powder,Yes,"As directed, sip slowly"
184,Azithromycin,200ml,Immunity Boost,Propranolol,No,1 tablet daily for 3 days
185,Amoxicillin,150mg,Hypertension,Loratadine,Yes,"As directed, sip slowly"
186,Vitamin C,250mg,Diabetes,Zincovit,No,1 tablet daily for 3 days
187,Losartan,150mg,Stomach Ulcer,Amlodipine,Yes,1 tablet after meals
188,Ibuprofen,250mg,Hypertension,Dolo,Yes,1 tablet before meals
189,Metformin,100mg,Heart Disease,Crocin,Yes,1 capsule every 8 hrs
190,Atorvastatin,600mg,Dehydration,Electral Powder,Yes,As prescribed by doctor
191,Atorvastatin,20ml,Stomach Ulcer,Clarithromycin,No,"As directed, sip slowly"
192,Cetirizine,600mg,Dehydration,Erythromycin,Yes,1 tablet before meals
193,Omeprazole,100mg,Bacterial Infection,Electral Powder,Yes,1 tablet every 6 hrs
194,Paracetamol,600mg,Thyroid Disorder,Levocetirizine,Yes,1 tablet every 6 hrs
195,Metoprolol,200ml,Dehydration,Glimepiride,No,1 tablet daily for 3 days
196,Levothyroxine,50mg,Hypertension,Propranolol,No,1 tablet every 6 hrs
197,Amoxicillin,100mg,Stomach Ulcer,Electral Powder,No,1 tablet daily for 3 days
198,Ibuprofen,400mg,Diabetes,Famotidine,No,1 tablet before meals
199,Losartan,150mg,Stomach Ulcer,Zincovit,Yes,1 capsule every 8 hrs
200,Metformin,10mg,Acidity,Zincovit,No,1 capsule every 8 hrs
201,Azithromycin,400mg,Bacterial Infection,Zincovit,No,1 capsule every 8 hrs
202,Levothyroxine,50mg,Dehydration,Clarithromycin,No,As prescribed by doctor
203,Pantoprazole,500mg,Acidity,Erythromycin,Yes,As prescribed by doctor
204,Amoxicillin,600mg,Bacterial Infection,Electral Powder,Yes,1 tablet at night
205,Metoprolol,20ml,Hypertension,Loratadine,Yes,1 tablet daily for 3 days
206,Amoxicillin,50mg,Thyroid Disorder,Clarithromycin,No,1 capsule every 8 hrs
207,ORS Solution,250mg,Heart Disease,Augmentin,Yes,1 tablet daily
208,Pantoprazole,400mg,Cholesterol Control,Zincovit,No,1 tablet daily
209,Cetirizine,600mg,Hypertension,Dolo,Yes,1 tablet before meals
210,Metformin,400mg,Acidity,Human Mixtard,No,1 tablet daily for 3 days
211,ORS Solution,10ml,Cholesterol Control,Glimepiride,Yes,1 tablet before meals
212,Levothyroxine,10mg,"Fever, Headache",Propranolol,No,1 tablet before meals
213,Ibuprofen,10mg,"Fever, Headache",Human Mixtard,No,1 capsule every 8 hrs
214,Vitamin C,500mg,Stomach Ulcer,Loratadine,Yes,1 tablet at night
215,Levothyroxine,200ml,Hypertension,Augmentin,No,1 tablet at night
216,Atorvastatin,10ml,Diabetes,Glimepiride,Yes,"As directed, sip slowly"
217,Ranitidine,100mg,"Fever, Headache",Human Mixtard,Yes,1 tablet daily for 3 days
218,Salbutamol,250mg,Bacterial Infection,Famotidine,No,1 tablet after meals
219,Amoxicillin,600mg,Immunity Boost,Dolo,Yes,"As directed, sip slowly"
220,Atorvastatin,10mg,Heart Disease,Propranolol,Yes,1 tablet after meals
221,Atorvastatin,500mg,"Fever, Headache",Levocetirizine,No,1 tablet at night
222,Cetirizine,20ml,Thyroid Disorder,Glimepiride,Yes,"As directed, sip slowly"
223,Cetirizine,10mg,Thyroid Disorder,Amlodipine,Yes,1 tablet at night
224,Metformin,100mg,Asthma,Human Mixtard,Yes,"As directed, sip slowly"
225,Vitamin C,200ml,Acidity,Erythromycin,No,1 tablet daily for 3 days
226,Insulin,200mg,Dehydration,Levocetirizine,No,1 tablet before meals
227,Clopidogrel,400mg,Throat Infection,Dolo,No,1 tablet after meals
228,Ciprofloxacin,250mg,Heart Disease,Clarithromycin,Yes,1 tablet after meals
229,Metformin,600mg,Cholesterol Control,Human Mixtard,Yes,1 tablet before meals
230,Insulin,50mg,Throat Infection,Propranolol,Yes,1 capsule every 8 hrs
231,Ciprofloxacin,150mg,Throat Infection,Levocetirizine,Yes,As prescribed by doctor
232,Cetirizine,100mg,Bacterial Infection,Crocin,No,As prescribed by doctor
233,ORS Solution,500mg,Immunity Boost,Famotidine,No,1 tablet daily
234,Azithromycin,200ml,Throat Infection,Glimepiride,Yes,1 tablet every 6 hrs
235,Pantoprazole,150mg,Acidity,Crocin,Yes,"As directed, sip slowly"
236,Losartan,100mg,Immunity Boost,Famotidine,No,1 tablet every 6 hrs
237,Aspirin,10mg,Immunity Boost,Augmentin,Yes,1 tablet every 6 hrs
238,Metoprolol,10ml,Thyroid Disorder,Famotidine,No,As prescribed by doctor
239,Pantoprazole,10ml,Stomach Ulcer,Zincovit,No,"As directed, sip slowly"
240,Metformin,10mg,Stomach Ulcer,Diclofenac,No,"As directed, sip slowly"
241,Omeprazole,10mg,Immunity Boost,Diclofenac,No,1 tablet at night
242,Ranitidine,100mg,"Allergy, Cold",Zincovit,No,1 tablet before meals
243,Ranitidine,10ml,Bacterial Infection,Famotidine,No,1 tablet at night
244,Losartan,10mg,Hypertension,Crocin,Yes,1 tablet after meals
245,Omeprazole,20ml,Dehydration,Propranolol,No,1 tablet daily for 3 days
246,Cetirizine,10ml,Heart Disease,Loratadine,No,1 tablet daily for 3 days
247,Aspirin,200mg,Heart Disease,Propranolol,Yes,1 tablet after meals
248,Paracetamol,150mg,Acidity,Human Mixtard,Yes,1 tablet every 6 hrs
249,Salbutamol,250mg,Diabetes,Zincovit,No,1 tablet daily
250,Salbutamol,400mg,"Pain, Inflammation",Dolo,Yes,1 capsule every 8 hrs
251,Salbutamol,250mg,"Allergy, Cold",Propranolol,No,"As directed, sip slowly"
252,Aspirin,20ml,"Fever, Headache",Clarithromycin,Yes,1 capsule every 8 hrs
253,Losartan,600mg,Stomach Ulcer,Loratadine,Yes,1 capsule every 8 hrs
254,ORS Solution,400mg,"Fever, Headache",Augmentin,No,1 tablet daily
255,Ranitidine,10ml,Asthma,Glimepiride,No,As prescribed by doctor
256,Pantoprazole,200ml,"Pain, Inflammation",Zincovit,Yes,1 capsule every 8 hrs
257,Vitamin C,200mg,Thyroid Disorder,Amlodipine,No,1 capsule every 8 hrs
258,Atorvastatin,250mg,Asthma,Augmentin,Yes,1 tablet before meals
259,Vitamin C,600mg,Acidity,Erythromycin,Yes,1 tablet before meals
260,Paracetamol,600mg,Immunity Boost,Zincovit,No,1 tablet daily for 3 days
261,Ciprofloxacin,200mg,Asthma,Zincovit,Yes,1 tablet at night
262,Levothyroxine,600mg,Diabetes,Famotidine,Yes,1 tablet after meals
263,Metoprolol,600mg,Diabetes,Clarithromycin,Yes,1 tablet after meals
264,Insulin,500mg,Heart Disease,Human Mixtard,No,1 tablet every 6 hrs
265,Losartan,10ml,Asthma,Diclofenac,No,1 tablet at night
266,Cetirizine,10mg,"Pain, Inflammation",Erythromycin,Yes,1 tablet daily
267,Cetirizine,100mg,Cholesterol Control,Dolo,No,1 tablet daily for 3 days
268,Vitamin C,100mg,Immunity Boost,Glimepiride,No,1 tablet every 6 hrs
269,Azithromycin,50mg,"Fever, Headache",Clarithromycin,Yes,1 tablet at night
270,Clopidogrel,10mg,"Pain, Inflammation",Human Mixtard,No,1 tablet at night
271,Metformin,20ml,Diabetes,Amlodipine,No,1 tablet at night
272,Aspirin,10ml,Heart Disease,Human Mixtard,No,1 tablet after meals
273,Clopidogrel,200mg,Asthma,Augmentin,No,"As directed, sip slowly"
274,Ciprofloxacin,200ml,Thyroid Disorder,Augmentin,No,1 tablet daily for 3 days
275,Pantoprazole,50mg,Hypertension,Loratadine,No,As prescribed by doctor
276,Cetirizine,150mg,Thyroid Disorder,Crocin,No,1 tablet at night
277,Clopidogrel,200mg,Thyroid Disorder,Loratadine,No,1 tablet after meals
278,Metformin,100mg,Heart Disease,Propranolol,No,1 tablet daily for 3 days
279,Paracetamol,150mg,Asthma,Amlodipine,No,"As directed, sip slowly"
280,Azithromycin,600mg,"Pain, Inflammation",Crocin,Yes,1 tablet daily
281,Azithromycin,200mg,Dehydration,Augmentin,No,1 tablet daily
282,Cetirizine,250mg,"Pain, Inflammation",Amlodipine,No,1 tablet daily for 3 days
283,Ranitidine,150mg,Asthma,Propranolol,No,As prescribed by doctor
284,Salbutamol,400mg,Acidity,Erythromycin,Yes,1 tablet daily for 3 days
285,Amoxicillin,200mg,Throat Infection,Dolo,Yes,1 tablet every 6 hrs
286,Amoxicillin,400mg,Heart Disease,Dolo,Yes,1 tablet at night
287,Paracetamol,400mg,"Pain, Inflammation",Glimepiride,No,1 tablet after meals
288,Levothyroxine,250mg,"Allergy, Cold",Propranolol,No,1 tablet every 6 hrs
289,Metoprolol,20ml,Immunity Boost,Propranolol,No,1 tablet at night
290,Ciprofloxacin,600mg,Hypertension,Zincovit,Yes,1 tablet daily
291,Atorvastatin,400mg,Immunity Boost,Glimepiride,Yes,1 tablet at night
292,Ciprofloxacin,200ml,Cholesterol Control,Propranolol,No,1 tablet at night
293,Amoxicillin,10mg,"Fever, Headache",Levocetirizine,No,1 tablet after meals
294,Ciprofloxacin,10mg,Bacterial Infection,Levocetirizine,No,1 tablet at night
295,Metoprolol,200ml,Diabetes,Human Mixtard,No,As prescribed by doctor
296,Losartan,500mg,Hypertension,Dolo,No,1 tablet before meals
297,Atorvastatin,20ml,Thyroid Disorder,Propranolol,No,1 tablet before meals
298,Ranitidine,500mg,Asthma,Glimepiride,Yes,1 capsule every 8 hrs
299,Cetirizine,250mg,Heart Disease,Zincovit,No,1 tablet daily for 3 days
300,Metoprolol,20ml,Diabetes,Amlodipine,Yes,1 tablet every 6 hrs
301,Amoxicillin,50mg,Thyroid Disorder,Propranolol,Yes,1 tablet before meals
302,Losartan,500mg,Acidity,Famotidine,Yes,1 tablet every 6 hrs
303,Metoprolol,50mg,"Pain, Inflammation",Erythromycin,Yes,1 tablet every 6 hrs
304,Salbutamol,50mg,Stomach Ulcer,Zincovit,Yes,As prescribed by doctor
305,Omeprazole,20ml,Stomach Ulcer,Electral Powder,No,1 tablet every 6 hrs
306,ORS Solution,10ml,Asthma,Electral Powder,Yes,"As directed, sip slowly"
307,Ranitidine,10mg,Acidity,Zincovit,Yes,1 tablet at night
308,Ciprofloxacin,600mg,"Pain, Inflammation",Diclofenac,No,1 tablet at night
309,Azithromycin,200ml,Acidity,Diclofenac,Yes,1 tablet at night
310,Salbutamol,10ml,Asthma,Loratadine,Yes,1 tablet at night
311,Clopidogrel,500mg,Throat Infection,Augmentin,No,1 tablet before meals
312,Vitamin C,150mg,Hypertension,Loratadine,Yes,1 tablet every 6 hrs
313,Amoxicillin,600mg,Heart Disease,Famotidine,No,1 capsule every 8 hrs
314,Omeprazole,50mg,Bacterial Infection,Erythromycin,Yes,1 tablet daily
315,Levothyroxine,10ml,Immunity Boost,Amlodipine,Yes,1 capsule every 8 hrs
316,ORS Solution,200ml,Hypertension,Glimepiride,Yes,1 tablet at night
317,Ranitidine,200mg,Diabetes,Dolo,No,1 tablet every 6 hrs
318,Losartan,50mg,Throat Infection,Crocin,No,1 tablet daily for 3 days
319,Pantoprazole,20ml,Hypertension,Amlodipine,Yes,1 tablet daily for 3 days
320,Vitamin C,50mg,Stomach Ulcer,Erythromycin,Yes,1 tablet every 6 hrs
321,ORS Solution,10ml,"Pain, Inflammation",Electral Powder,No,As prescribed by doctor
322,Metoprolol,10mg,Stomach Ulcer,Levocetirizine,Yes,1 tablet daily for 3 days
323,Clopidogrel,600mg,Bacterial Infection,Erythromycin,Yes,1 tablet after meals
324,Atorvastatin,20ml,Diabetes,Amlodipine,Yes,As prescribed by doctor
325,ORS Solution,10mg,Stomach Ulcer,Famotidine,Yes,1 tablet every 6 hrs
326,Losartan,10ml,Cholesterol Control,Crocin,Yes,1 capsule every 8 hrs
327,Atorvastatin,10ml,Cholesterol Control,Amlodipine,No,1 tablet daily
328,Losartan,100mg,Bacterial Infection,Electral Powder,Yes,1 tablet at night
329,Atorvastatin,100mg,"Pain, Inflammation",Diclofenac,Yes,1 tablet after meals
330,Azithromycin,10ml,"Fever, Headache",Crocin,Yes,1 tablet at night
331,Metoprolol,200mg,Acidity,Erythromycin,Yes,1 tablet daily
332,Salbutamol,600mg,Cholesterol Control,Glimepiride,Yes,1 tablet daily for 3 days
333,Losartan,20ml,Dehydration,Electral Powder,Yes,As prescribed by doctor
334,Levothyroxine,100mg,"Pain, Inflammation",Famotidine,Yes,"As directed, sip slowly"
335,Metoprolol,50mg,Diabetes,Loratadine,Yes,1 tablet after meals
336,Azithromycin,150mg,"Pain, Inflammation",Glimepiride,Yes,1 tablet daily
337,Atorvastatin,150mg,Bacterial Infection,Levocetirizine,Yes,As prescribed by doctor
338,Ranitidine,100mg,Bacterial Infection,Augmentin,Yes,1 tablet daily for 3 days
339,Aspirin,10mg,Dehydration,Loratadine,Yes,1 tablet at night
340,Omeprazole,500mg,Hypertension,Augmentin,Yes,1 tablet at night
